student_id,card_id,name,date,attended,phone
S001,744920,Sasith Geevinda,2025-11-14,Present,18777804236
S002,2026244,Nimesh Silva,1/15/2025,1,18777804236
S003,1922654,Amaya Perera,1/15/2025,1,18777804236
S004,2027310,Kavinda Fernando,1/15/2025,1,18777804236
S005,2068183,Tharushi Jayasinghe,1/15/2025,1,18777804236
S001,744920,Sasith Geevinda,2025-11-14,Present,18777804236
S002,2026244,Nimesh Silva,1/16/2025,1,18777804236
S003,1922654,Amaya Perera,1/16/2025,1,18777804236
S004,2027310,Kavinda Fernando,1/16/2025,0,18777804236
S005,2068183,Tharushi Jayasinghe,1/16/2025,1,18777804236
S001,744920,Sasith Geevinda,2025-11-14,Present,18777804236
S002,2026244,Nimesh Silva,1/17/2025,1,18777804236
S003,1922654,Amaya Perera,1/17/2025,1,18777804236
S004,2027310,Kavinda Fernando,1/17/2025,1,18777804236
S005,2068183,Tharushi Jayasinghe,1/17/2025,0,18777804236
S001,744920,Sasith Geevinda,2025-11-14,Present,18777804236
S002,2026244,Nimesh Silva,1/20/2025,1,18777804236
S003,1922654,Amaya Perera,1/20/2025,0,18777804236
S004,2027310,Kavinda Fernando,1/20/2025,1,18777804236
S005,2068183,Tharushi Jayasinghe,1/20/2025,0,18777804236
S001,744920,Sasith Geevinda,2025-11-14,Present,18777804236
S002,2026244,Nimesh Silva,1/21/2025,0,18777804236
S003,1922654,Amaya Perera,1/21/2025,1,18777804236
S004,2027310,Kavinda Fernando,1/21/2025,1,18777804236
S005,2068183,Tharushi Jayasinghe,1/21/2025,1,18777804236
S001,744920,Sasith Geevinda,2025-11-14,Present,18777804236
S002,2026244,Nimesh Silva,1/22/2025,1,18777804236
S003,1922654,Amaya Perera,1/22/2025,1,18777804236
S004,2027310,Kavinda Fernando,1/22/2025,1,18777804236
S005,2068183,Tharushi Jayasinghe,1/22/2025,1,18777804236
S002,2026244,Nimesh Silva,1/23/2025,1,18777804236
S003,1922654,Amaya Perera,1/23/2025,1,18777804236
S004,2027310,Kavinda Fernando,1/23/2025,1,18777804236
S005,2068183,Tharushi Jayasinghe,1/23/2025,1,18777804236
S001,744920,Sasith Geevinda,2025-11-14,Present,18777804236
S002,2026244,Nimesh Silva,1/24/2025,1,18777804236
S004,2027310,Kavinda Fernando,1/24/2025,1,18777804236
S005,2068183,Tharushi Jayasinghe,1/24/2025,1,18777804236
S001,744920,Sasith Geevinda,2025-11-14,Present,18777804236
S002,2026244,Nimesh Silva,1/27/2025,1,18777804236
S003,1922654,Amaya Perera,1/27/2025,1,18777804236
S004,2027310,Kavinda Fernando,1/27/2025,1,18777804236
S001,744920,Sasith Geevinda,2025-11-14,Present,18777804236
S002,2026244,Nimesh Silva,1/28/2025,1,18777804236
S003,1922654,Amaya Perera,1/28/2025,1,18777804236
S004,2027310,Kavinda Fernando,1/28/2025,1,18777804236
S001,744920,Sasith Geevinda,2025-11-14,Present,18777804236
S002,2026244,Nimesh Silva,1/29/2025,1,18777804236
S003,1922654,Amaya Perera,1/29/2025,1,18777804236
S004,2027310,Kavinda Fernando,1/29/2025,1,18777804236
S005,2068183,Tharushi Jayasinghe,1/29/2025,1,18777804236
S001,744920,Sasith Geevinda,2025-11-14,Present,18777804236
S003,1922654,Amaya Perera,1/30/2025,1,18777804236
S004,2027310,Kavinda Fernando,1/30/2025,1,18777804236
S005,2068183,Tharushi Jayasinghe,1/30/2025,1,18777804236
S001,744920,Sasith Geevinda,2025-11-14,Present,18777804236
S002,2026244,Nimesh Silva,1/31/2025,1,18777804236
S003,1922654,Amaya Perera,1/31/2025,1,18777804236
S004,2027310,Kavinda Fernando,1/31/2025,1,18777804236
S005,2068183,Tharushi Jayasinghe,1/31/2025,1,18777804236
S001,744920,Sasith Geevinda,2025-11-14,Present,18777804236
S002,2026244,Nimesh Silva,2/3/2025,1,18777804236
S003,1922654,Amaya Perera,2/3/2025,1,18777804236
S004,2027310,Kavinda Fernando,2/3/2025,1,18777804236
S005,2068183,Tharushi Jayasinghe,2/3/2025,1,18777804236
S001,744920,Sasith Geevinda,2025-11-14,Present,18777804236
S002,2026244,Nimesh Silva,2/4/2025,1,18777804236
S003,1922654,Amaya Perera,2/4/2025,1,18777804236
S004,2027310,Kavinda Fernando,2/4/2025,1,18777804236
